"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Deposit Insurance Corporation","Agency Overall","2018","22","423","431","14"
"Federal Trade Commission","Agency Overall","2015","26","1531","1531","26"
"Office of Special Counsel","Agency Overall","2023","11","118","103","26"
"Peace Corps","Agency Overall","2019","56","179","101","134"
"Federal Mediation and Conciliation Service","Agency Overall","2016","6","58","62","2"
"National Railroad Passenger Corporation","Agency Overall","2018","141","206","215","132"
"Federal Open Market Committee","Agency Overall","2023","0","29","20","9"
"U.S. Department of State","Agency Overall","2022","16284","13864","9167","20981"
"Department of Health and Human Services","Agency Overall","2018","6097","35445","33876","7666"
"Nuclear Regulatory Commission","Agency Overall","2016","39","785","753","71"
"United States Trade and Development Agency","Agency Overall","2016","22","24","30","16"
"United States African Development Foundation","Agency Overall","2017","0","14","12","2"
"Department of Agriculture","Agency Overall","2023","2387","16605","16242","2750"
"U.S. Agency for International Development","Agency Overall","2017","347","326","331","342"
"General Services Administration","Agency Overall","2019","382","1461","1355","488"
"Department of Homeland Security","Agency Overall","2020","63374","397671","392623","68422"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2015","120","505","586","39"
"National Credit Union Administration","Agency Overall","2017","3","100","96","7"
"National Labor Relations Board","Agency Overall","2024","57","2837","2588","306"
"Environmental Protection Agency","Agency Overall","2023","1956","6588","6777","1767"
"Millennium Challenge Corporation","Agency Overall","2023","0","54","46","8"
"U.S. Agency for International Development","Agency Overall","2024","432","984","688","728"
"Department of Transportation","Agency Overall","2024","7576","18345","16080","9841"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","4","29","29","4"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","23","23","0"
"Department of Education","Agency Overall","2021","961","2151","2292","820"
"Export-Import Bank of the U.S.","Agency Overall","2015","38","100","101","37"
"Social Security Advisory Board","Agency Overall","2024","1","44","44","1"
"Institute of Museum and Library Services","Agency Overall","2024","0","176","176","0"
"Department of Health and Human Services","Agency Overall","2021","11230","33158","32952","11436"
"Federal Maritime Commission","Agency Overall","2024","15","103","75","43"
"Federal Communications Commission","Agency Overall","2016","107","836","893","50"
"Department of Housing and Urban Development","Agency Overall","2021","1373","1734","2093","1014"
"Denali Commission","Agency Overall","2020","0","11","11","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","3","42","34","11"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","3","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","14","12","4"
"National Indian Gaming Commission","Agency Overall","2020","2","29","27","4"
"National Railroad Passenger Corporation","Agency Overall","2020","137","234","233","138"
"U.S. Department of State","Agency Overall","2018","13772","8448","10928","11292"
"Appraisal Subcommittee","Agency Overall","2023","0","34","29","5"
"Inter-American Foundation","Agency Overall","2016","0","10","10","0"
"Occupational Safety and Health Review Commission","Agency Overall","2018","1","69","69","1"
"Merit Systems Protection Board","Agency Overall","2019","50","117","115","52"
"National Archives and Records Administration","Agency Overall","2020","3494","25738","25721","3511"
"Department of Justice","Agency Overall","2015","13602","67783","67825","13560"
"Department of Education","Agency Overall","2020","1114","2384","2537","961"
"Farm Credit Administration","Agency Overall","2022","0","37","37","0"
"Department of Commerce","Agency Overall","2015","490","2230","2163","557"
"Selective Service System","Agency Overall","2015","0","7","7","0"
"Office of the United States Trade Representative","Agency Overall","2018","16","186","188","14"
